item,lift,confidence
tiaras & ponchos,5.922295701,0.017241379
ponchos & tiaras,5.922295701,0.01369863
mules & visors,5.919499528,0.083333333
visors & mules,5.919499528,0.005665722
boinas & oxfords,5.886150235,0.016666667
oxfords & boinas,5.886150235,0.014084507
gowns & brooches,5.854996887,0.136363636
brooches & gowns,5.854996887,0.005136986
slides & kaftans,5.853174603,0.047619048
kaftans & slides,5.853174603,0.019607843
joggers & oxfords,5.804398148,0.016666667
oxfords & joggers,5.804398148,0.013888889
boots & mittens,5.782979705,1
mittens & boots,5.782979705,0.000230627
swimsuits & tunics,5.77764977,0.1
tunics & swimsuits,5.77764977,0.034562212
eyewears & boinas,5.727065093,0.042253521
boinas & eyewears,5.727065093,0.016216216
wristlets & sandalens,5.717054264,0.019607843
sandalens & wristlets,5.717054264,0.011627907
tunics & briefs,5.715099715,0.034188034
briefs & tunics,5.715099715,0.026666667
purses & tubes,5.705996132,0.085106383
tubes & purses,5.705996132,0.021390374
packs & slingbackss,5.651340996,0.019607843
slingbackss & packs,5.651340996,0.011494253
sunhats & oxfords,5.647522523,0.016666667
oxfords & sunhats,5.647522523,0.013513514
fedoras & visors,5.63230009,0.083333333
visors & fedoras,5.63230009,0.005390836
boinas & trainers,5.605857366,0.015873016
trainers & boinas,5.605857366,0.014084507
bodysuits & chemises,5.559866962,0.090909091
chemises & bodysuits,5.559866962,0.002439024
shoes & tiaras,5.551404456,0.219178082
tiaras & shoes,5.551404456,0.016161616
capes & parkas,5.547566372,0.025
parkas & capes,5.547566372,0.008849558
bras & sandalens,5.508870215,0.078431373
sandalens & bras,5.508870215,0.011204482
cardigans & shawls,5.508416399,0.131147541
shawls & cardigans,5.508416399,0.013400335
chokers & tights,5.504162812,0.29787234
tights & chokers,5.504162812,0.051584377
caps & joggers,5.460583624,0.125
joggers & caps,5.460583624,0.015679443
chokers & shawls,5.452601568,0.295081967
shawls & chokers,5.452601568,0.013264554
kimonos & tiaras,5.452272233,0.02739726
tiaras & kimonos,5.452272233,0.015873016
sweaters & parkas,5.43533237,0.225
parkas & sweaters,5.43533237,0.00867052
tees & pajamas,5.39479346,0.071428571
tees & raincoats,5.39479346,0.071428571
pajamas & tees,5.39479346,0.003012048
raincoats & tees,5.39479346,0.003012048
espadrilles & visors,5.378592879,0.166666667
visors & espadrilles,5.378592879,0.005148005
blouses & miniskirts,5.378016086,0.4
